fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6,red
6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6,white
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red
6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6,white
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,white
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8,white
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,white
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,white
7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,6,white
7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,red
6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6,white
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,red
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,white
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6,white
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,white
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,white
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5,red
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7,white
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,white
6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,5,white
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,white
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6,white
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,red
5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4,white
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,white
5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6,white
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6,white
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,red
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5,white
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5,white
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,white
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5,white
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6,white
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,red
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6,red
